IntensityIn IntensityOut Luminance
2.490842490842491014e-02 2.136263065537498951e-01 1.136410521305643684e+01
2.515262515262515347e-02 2.136263065537498951e-01 1.136410521305643684e+01
2.539682539682539680e-02 2.166781109330891963e-01 1.168834139221248769e+01
2.564102564102564014e-02 2.166781109330891963e-01 1.168834139221248769e+01
2.588522588522588347e-02 2.166781109330891963e-01 1.168834139221248769e+01
2.612942612942613027e-02 2.197299153124284699e-01 1.214230660454620292e+01
2.637362637362637360e-02 2.197299153124284699e-01 1.214230660454620292e+01
2.661782661782661694e-02 2.197299153124284699e-01 1.214230660454620292e+01
2.686202686202686374e-02 2.197299153124284699e-01 1.214230660454620292e+01
2.710622710622710707e-02 2.227817196917677711e-01 1.256337691462598727e+01
2.735042735042735040e-02 2.227817196917677711e-01 1.256337691462598727e+01
2.759462759462759374e-02 2.227817196917677711e-01 1.256337691462598727e+01
2.783882783882783707e-02 2.227817196917677711e-01 1.256337691462598727e+01
2.808302808302808387e-02 2.258335240711070446e-01 1.295780773919169171e+01
2.832722832722832720e-02 2.258335240711070446e-01 1.295780773919169171e+01
2.857142857142857054e-02 2.258335240711070446e-01 1.295780773919169171e+01
2.881562881562881734e-02 2.258335240711070446e-01 1.295780773919169171e+01
2.905982905982906067e-02 2.288853284504463181e-01 1.336325560196549311e+01
2.930402930402930400e-02 2.288853284504463181e-01 1.336325560196549311e+01
2.954822954822954734e-02 2.288853284504463181e-01 1.336325560196549311e+01
2.979242979242979067e-02 2.319371328297856194e-01 1.380437817037962844e+01
3.003663003663003747e-02 2.319371328297856194e-01 1.380437817037962844e+01
3.028083028083028080e-02 2.319371328297856194e-01 1.380437817037962844e+01
3.052503052503052414e-02 2.319371328297856194e-01 1.380437817037962844e+01
3.076923076923077094e-02 2.349889372091248929e-01 1.419274271843259427e+01
3.101343101343101427e-02 2.349889372091248929e-01 1.419274271843259427e+01
3.125763125763125760e-02 2.349889372091248929e-01 1.419274271843259427e+01
3.150183150183150094e-02 2.349889372091248929e-01 1.419274271843259427e+01
3.174603174603174427e-02 2.380407415884641664e-01 1.457909258223916638e+01
3.199023199023198760e-02 2.380407415884641664e-01 1.457909258223916638e+01
3.223443223443223093e-02 2.380407415884641664e-01 1.457909258223916638e+01
3.247863247863248121e-02 2.410925459678034677e-01 1.506933469589757912e+01
3.272283272283272454e-02 2.410925459678034677e-01 1.506933469589757912e+01
3.296703296703296787e-02 2.410925459678034677e-01 1.506933469589757912e+01
3.321123321123321120e-02 2.410925459678034677e-01 1.506933469589757912e+01
3.345543345543345454e-02 2.410925459678034677e-01 1.506933469589757912e+01
3.369963369963369787e-02 2.441443503471427412e-01 1.551304452665605993e+01
3.394383394383394120e-02 2.441443503471427412e-01 1.551304452665605993e+01
3.418803418803419147e-02 2.441443503471427412e-01 1.551304452665605993e+01
3.443223443223443481e-02 2.441443503471427412e-01 1.551304452665605993e+01
3.467643467643467814e-02 2.471961547264820425e-01 1.594964562227546878e+01
3.492063492063492147e-02 2.471961547264820425e-01 1.594964562227546878e+01
3.516483516483516480e-02 2.471961547264820425e-01 1.594964562227546878e+01
3.540903540903540814e-02 2.471961547264820425e-01 1.594964562227546878e+01
3.565323565323565147e-02 2.502479591058213160e-01 1.641465441379098422e+01
3.589743589743589480e-02 2.502479591058213160e-01 1.641465441379098422e+01
3.614163614163613814e-02 2.502479591058213160e-01 1.641465441379098422e+01
3.638583638583638841e-02 2.502479591058213160e-01 1.641465441379098422e+01
3.663003663003663174e-02 2.532997634851605895e-01 1.683170747769057130e+01
3.687423687423687507e-02 2.532997634851605895e-01 1.683170747769057130e+01
3.711843711843711840e-02 2.532997634851605895e-01 1.683170747769057130e+01
3.736263736263736174e-02 2.532997634851605895e-01 1.683170747769057130e+01
3.760683760683760507e-02 2.563515678644998630e-01 1.728945129569763139e+01
3.785103785103784840e-02 2.563515678644998630e-01 1.728945129569763139e+01
3.809523809523809867e-02 2.563515678644998630e-01 1.728945129569763139e+01
3.833943833943834201e-02 2.563515678644998630e-01 1.728945129569763139e+01
3.858363858363858534e-02 2.594033722438391920e-01 1.787313780214033088e+01
3.882783882783882867e-02 2.594033722438391920e-01 1.787313780214033088e+01
3.907203907203907201e-02 2.594033722438391920e-01 1.787313780214033088e+01
3.931623931623931534e-02 2.594033722438391920e-01 1.787313780214033088e+01
3.956043956043955867e-02 2.594033722438391920e-01 1.787313780214033088e+01
3.980463980463980200e-02 2.596780346379797266e-01 1.788733020315991240e+01
4.004884004884004534e-02 2.624551766231784655e-01 1.840341912798731983e+01
4.029304029304029561e-02 2.624551766231784655e-01 1.840341912798731983e+01
4.053724053724053894e-02 2.624551766231784655e-01 1.840341912798731983e+01
4.078144078144078227e-02 2.624551766231784655e-01 1.840341912798731983e+01
4.102564102564102561e-02 2.626688029297322147e-01 1.843652698746036478e+01
4.126984126984126894e-02 2.634927901121538185e-01 1.854546743681568088e+01
4.151404151404151227e-02 2.647898069733730098e-01 1.865564496765066238e+01
4.175824175824175560e-02 2.655069810025177390e-01 1.908536771064520110e+01
4.200244200244200588e-02 2.655069810025177390e-01 1.908536771064520110e+01
4.224664224664224921e-02 2.655069810025177390e-01 1.908536771064520110e+01
4.249084249084249254e-02 2.655527580682078281e-01 1.909706432106977658e+01
4.273504273504273587e-02 2.659952697032120228e-01 1.920531356269440337e+01
4.297924297924297921e-02 2.664835584039063066e-01 1.931449711475703879e+01
4.322344322344322254e-02 2.670328831921873758e-01 1.942422773297211336e+01
4.346764346764346587e-02 2.676737621118486232e-01 1.953440444854804880e+01
4.371184371184370920e-02 2.684672312504768343e-01 1.964372345151940635e+01
4.395604395604395254e-02 2.695201037613488837e-01 1.975502685806548442e+01
4.420024420024420281e-02 2.700694285496299529e-01 1.986451747500755971e+01
4.444444444444444614e-02 2.707103074692912004e-01 1.997409964091134427e+01
4.468864468864468947e-02 2.715037766079194115e-01 2.008221515601364615e+01
4.493284493284493281e-02 2.724650949874112826e-01 2.019269406567111957e+01
4.517704517704517614e-02 2.729839017318989591e-01 2.030124937958624187e+01
4.542124542124541947e-02 2.735942626077668693e-01 2.041224680576446815e+01
4.566544566544566280e-02 2.743266956588082950e-01 2.052118868274266816e+01
4.590964590964591308e-02 2.752117189288166843e-01 2.063114578564216117e+01
4.615384615384615641e-02 2.756847486076142717e-01 2.074086640181327112e+01
4.639804639804639974e-02 2.762188143739986446e-01 2.085152333514826140e+01
4.664224664224664307e-02 2.768291752498664993e-01 2.096053372334809239e+01
4.688644688644688641e-02 2.775921263447013176e-01 2.107018312171400964e+01
4.713064713064712974e-02 2.782330052643625651e-01 2.118067987438167066e+01
4.737484737484737307e-02 2.786907759212634561e-01 2.129026394031239278e+01
4.761904761904761640e-02 2.791943236438544362e-01 2.139859840585659256e+01
4.786324786324785974e-02 2.797894254978255946e-01 2.150987541485520538e+01
4.810744810744811001e-02 2.805065995269703238e-01 2.161947403892744646e+01
4.835164835164835334e-02 2.811932555123216604e-01 2.172826728674368013e+01
4.859584859584859667e-02 2.816357671473258550e-01 2.183953784147854194e+01
4.884004884004884001e-02 2.821087968261234424e-01 2.194731032306449947e+01
4.908424908424908334e-02 2.826581216144045117e-01 2.205775017481791167e+01
4.932844932844932667e-02 2.832990005340657591e-01 2.216630067184102870e+01
4.957264957264957000e-02 2.841687647821774521e-01 2.227830535314762628e+01
4.981684981684982028e-02 2.845960173952849503e-01 2.238796994717931454e+01
5.006105006105006361e-02 2.850690470740825377e-01 2.249811029531773698e+01
5.030525030525030694e-02 2.855878538185702142e-01 2.260507985475473447e+01
5.054945054945055027e-02 2.862287327382314617e-01 2.271694028127249254e+01
5.079365079365079361e-02 2.873731593804836892e-01 2.282595383745290718e+01
5.103785103785103694e-02 2.878156710154878839e-01 2.293673027115080743e+01
5.128205128205128027e-02 2.883039597161821677e-01 2.304659374660312210e+01
5.152625152625152360e-02 2.888532845044632369e-01 2.315444283039771989e+01
5.177045177045176694e-02 2.895246814679179326e-01 2.326328179605823721e+01
5.201465201465201721e-02 2.904859998474098037e-01 2.337542700855814104e+01
5.225885225885226054e-02 2.908979934386206057e-01 2.348309109148327423e+01
5.250305250305250387e-02 2.913710231174181930e-01 2.359506471006756811e+01
5.274725274725274721e-02 2.918898298619058695e-01 2.370335856254318685e+01
5.299145299145299054e-02 2.925154497596704206e-01 2.381345719792514615e+01
5.323565323565323387e-02 2.932326237888151499e-01 2.392189595839236205e+01
5.347985347985347721e-02 2.936140993362325591e-01 2.403376290502924206e+01
5.372405372405372748e-02 2.940108339055466646e-01 2.414140893658501597e+01
5.396825396825397081e-02 2.944533455405508593e-01 2.425086647467665202e+01
5.421245421245421414e-02 2.949568932631418394e-01 2.436162017895459542e+01
5.445665445665445747e-02 2.955367360952163014e-01 2.447069882290199061e+01
5.470085470085470081e-02 2.967421988250553144e-01 2.458361116088494569e+01
5.494505494505494414e-02 2.971389333943694200e-01 2.469089743522221880e+01
5.518925518925518747e-02 2.975814450293736146e-01 2.479967727317774262e+01
5.543345543345543081e-02 2.980849927519645948e-01 2.490930619708173310e+01
5.567765567765567414e-02 2.986800946059357531e-01 2.501917409963516903e+01
5.592185592185592441e-02 2.997940032043945879e-01 2.512924514383657026e+01
5.616605616605616774e-02 3.002059967956053899e-01 2.524058973746903689e+01
5.641025641025641107e-02 3.006485084306095845e-01 2.534883076867561158e+01
5.665445665445665441e-02 3.011673151750972610e-01 2.546055807595208620e+01
5.689865689865689774e-02 3.017624170290684193e-01 2.556827485281364432e+01
5.714285714285714107e-02 3.023270008392461849e-01 2.567980556046838103e+01
5.738705738705738441e-02 3.026932173647668978e-01 2.579110242256897578e+01
5.763125763125763468e-02 3.030746929121843070e-01 2.589837894930545303e+01
5.787545787545787801e-02 3.035019455252918053e-01 2.600790147965280497e+01
5.811965811965812134e-02 3.039902342259860890e-01 2.611913973698703728e+01
5.836385836385836468e-02 3.045395590142671582e-01 2.622628988243693371e+01
5.860805860805860801e-02 3.056839856565194413e-01 2.633896331974849403e+01
5.885225885225885134e-02 3.060502021820401541e-01 2.644612593686317226e+01
5.909645909645909467e-02 3.064621957732509561e-01 2.655664637282300333e+01
5.934065934065933801e-02 3.069199664301518471e-01 2.666682143838734476e+01
5.958485958485958134e-02 3.074387731746395236e-01 2.677541435382591573e+01
5.982905982905983161e-02 3.080796520943007710e-01 2.688538374624279115e+01
6.007326007326007494e-02 3.087357900358587148e-01 2.699771418953747570e+01
6.031746031746031828e-02 3.091020065613794277e-01 2.710696873961925846e+01
6.056166056166056161e-02 3.094987411306935332e-01 2.721559849050747459e+01
6.080586080586080494e-02 3.099412527656977279e-01 2.732467586467699050e+01
6.105006105006104827e-02 3.104448004882887080e-01 2.743310200262277476e+01
6.129426129426129161e-02 3.110704203860532591e-01 2.754424701293682887e+01
6.153846153846154188e-02 3.119096665903715593e-01 2.765550193387397826e+01
6.178266178266178521e-02 3.122911421377889685e-01 2.776509428770924615e+01
6.202686202686202854e-02 3.127031357289997704e-01 2.787263601662560575e+01
6.227106227106227188e-02 3.131761654077973578e-01 2.798208737306122984e+01
6.251526251526251521e-02 3.137407492179751234e-01 2.809286196263047941e+01
6.275946275946275854e-02 3.149462119478141364e-01 2.820378094635406896e+01
6.300366300366300187e-02 3.152971694514381529e-01 2.831100229785539568e+01
6.324786324786324521e-02 3.156939040207522584e-01 2.842225507215830760e+01
6.349206349206348854e-02 3.161211566338597567e-01 2.853011110182071519e+01
6.373626373626373187e-02 3.166247043564507369e-01 2.864112019631986783e+01
6.398046398046397520e-02 3.172198062104218952e-01 2.874957794858006110e+01
6.422466422466421854e-02 3.179980163271534099e-01 2.886259731430286024e+01
