Intensity Luminance
3.494316014340000023e-03 1.392225279430000032e-02
3.509575036240000171e-03 3.480563198559999925e-03
3.524834058139999886e-03 1.044168959570000027e-02
3.540093080029999787e-03 1.392225279430000032e-02
3.555352101929999935e-03 0.000000000000000000e+00
3.570611123830000084e-03 0.000000000000000000e+00
3.585870145719999985e-03 0.000000000000000000e+00
3.601129167620000134e-03 0.000000000000000000e+00
3.616388189519999848e-03 0.000000000000000000e+00
3.631647211410000183e-03 3.480563198559999925e-03
3.646906233309999898e-03 0.000000000000000000e+00
3.662165255210000046e-03 0.000000000000000000e+00
3.677424277099999948e-03 6.961126397129999664e-03
3.692683299000000096e-03 0.000000000000000000e+00
3.707942320899999811e-03 0.000000000000000000e+00
3.723201342790000146e-03 0.000000000000000000e+00
3.738460364689999860e-03 2.436394238990000072e-02
3.753719386590000009e-03 6.961126397129999664e-03
3.768978408479999910e-03 0.000000000000000000e+00
3.784237430380000058e-03 3.480563198559999925e-03
3.799496452280000207e-03 1.392225279430000032e-02
3.814755474170000108e-03 6.961126397129999664e-03
3.830014496069999823e-03 0.000000000000000000e+00
3.845273517969999971e-03 1.740281599280000049e-02
3.860532539859999872e-03 0.000000000000000000e+00
3.875791561760000021e-03 3.480563198559999925e-03
3.891050583660000169e-03 6.961126397129999664e-03
3.906309605550000071e-03 1.740281599280000049e-02
3.921568627450000219e-03 6.961126397129999664e-03
3.936827649350000367e-03 0.000000000000000000e+00
3.952086671239999835e-03 1.044168959570000027e-02
3.967345693139999983e-03 6.961126397129999664e-03
3.982604715040000132e-03 0.000000000000000000e+00
3.997863736929999599e-03 2.088337919140000054e-02
4.013122758829999748e-03 0.000000000000000000e+00
4.028381780729999896e-03 2.088337919140000054e-02
4.043640802620000231e-03 1.740281599280000049e-02
4.058899824520000379e-03 0.000000000000000000e+00
4.074158846419999661e-03 0.000000000000000000e+00
4.089417868309999995e-03 0.000000000000000000e+00
4.104676890210000144e-03 0.000000000000000000e+00
4.119935912110000292e-03 6.961126397129999664e-03
4.135194933999999760e-03 3.480563198559999925e-03
4.150453955899999908e-03 2.436394238990000072e-02
4.165712977800000057e-03 0.000000000000000000e+00
4.180971999690000392e-03 0.000000000000000000e+00
4.196231021589999673e-03 0.000000000000000000e+00
4.211490043489999821e-03 0.000000000000000000e+00
4.226749065380000156e-03 3.480563198559999925e-03
4.242008087280000304e-03 0.000000000000000000e+00
